"id","roadmap_stage","roadmap_item","proposed_module","proposed_api","status","origin_category","origin_detail","external_reference","scientific_problem","computational_problem","why_oceancube","destination","implementation_strategy","dependency_strategy","prerequisites","priority","target_version","risk","maintainer_decision_required","decision_id","notes"
"OC-DATAFIX-02","0.3.0-A","NOAA gridded-product fixture","test-data","fixture only","PROPOSED","EXTERNAL-INSPIRED","Independent public gridded source broadens provider evidence","https://psl.noaa.gov/data/gridded/","Validate rectilinear surface fields and long time axes","Stable version pinning and subset derivation are required","Provider-independent behavior is a cube contract requirement","oceancube","Select one public product and derive a tiny attributed subset","No runtime NOAA dependency","Fixture governance and product selection","P0","0.3.0-A","medium","TRUE","DEC-024","Prefer a stable documented product rather than a live endpoint in CI"
"OC-DATAFIX-03","0.3.0-A","Satellite SST fixture","test-data","fixture only","PROPOSED","EXTERNAL-INSPIRED","Surface products need quality and singleton-depth evidence","https://coastwatch.noaa.gov/cw/satellite-data-products/sea-surface-temperature.html","Validate singleton depth, flags, packed values, missingness, and geolocation","Provider encodings and redistribution conditions vary","Satellite surfaces are a canonical ocean-cube class","oceancube","Create a tiny quality-bearing subset with derivation record if permitted","No runtime satellite dependency","Fixture governance and license review","P0","0.3.0-A","medium","TRUE","DEC-024","Do not treat swath and gridded products as equivalent"
"OC-DATAFIX-04","0.3.0-A","Satellite chlorophyll fixture","test-data","fixture only","PROPOSED","EXTERNAL-INSPIRED","Ocean-color products exercise skew, masks, packing, and quality metadata","https://oceancolor.gsfc.nasa.gov/","Validate ocean-color units, missingness, flags, and transformed values","Packed data and provider terms complicate redistribution","Biogeochemical gridded fields are valid oceancube inputs","oceancube","Derive a tiny subset or a metadata-plus-synthetic fixture after review","No runtime ocean-color dependency","Fixture governance and license review","P1","0.3.0-A","medium","TRUE","DEC-024","CI-safe form depends on redistribution decision"
"OC-DATAFIX-05","0.3.0-A","Reanalysis forcing fixture","test-data","fixture only","PROPOSED","EXTERNAL-INSPIRED","Forcing products test cell methods, long time, and multi-file metadata","https://www.ecmwf.int/en/forecasts/dataset/ecmwf-reanalysis-v5","Validate temporal semantics, cell_methods, calendars, and compatibility","Large collections and access terms prohibit naive repository inclusion","Forcing fields are common upstream covariates","oceancube","Use metadata manifest plus tiny licensed subset or synthetic analogue","No ECMWF runtime dependency","Fixture governance and product terms","P1","0.3.0-A","medium","TRUE","DEC-024","Full multi-file use waits for later backend work"
"OC-DATAFIX-06","0.3.0-A","Bathymetry fixture","test-data","fixture only","PROPOSED","EXTERNAL-INSPIRED","Bathymetry is needed for depth orientation and 3-D overlays","https://www.gebco.net/data_and_products/gridded_bathymetry_data/","Validate positive direction, units, land/sea masks, bounds, and overlay alignment","Resolution, attribution, and redistribution must be controlled","Bathymetry supports vertical and visualization contracts","oceancube","Use a coarse attributed subset if license permits","No bathymetry package dependency","Fixture governance and source review","P1","0.3.0-A","medium","TRUE","DEC-024","Required before Gate C overlay implementation"
"OC-DATAFIX-07","0.3.0-A","Nontrivial ocean-model grid fixture","test-data","fixture metadata/topology","PROPOSED","STANDARD-DRIVEN;EXTERNAL-INSPIRED","Advanced grids need evidence beyond rectilinear center coordinates","https://xgcm.readthedocs.io/en/latest/","Validate auxiliary coordinates, positions, metrics, and eventually stagger/sigma behavior","Small fixtures must retain topology without large payloads","Grid semantics are a core oceancube responsibility","oceancube","Start with metadata/topology fixture; add tiny values only after grid contract","No xgcm dependency","Fixture governance and preliminary grid vocabulary","P1","0.3.0-A","high","TRUE","DEC-024","Does not authorize advanced-grid implementation"
"OC-CF-01","0.3.0-B","CF metadata preservation model","cf-metadata","metadata schema and accessors under review","APPROVED-CONCEPT","STANDARD-DRIVEN;ARCHITECTURAL","CF 1.13 defines field and domain semantics needed across providers","https://cfconventions.org/Data/cf-conventions/cf-conventions-1.13/cf-conventions.html","Preserve meaning of variables, axes, coordinates, bounds, measures, mappings, and quality","Attributes are linked objects rather than an unstructured flat list","CF interpretation is core I/O and metadata work","oceancube","Stage standard_name, long_name, units, coordinates, axis, positive, bounds, cell_methods, cell_measures, grid_mapping, ancillary_variables, flag_values, and flag_masks","Native or hybrid engine remains open","Hardening exit and provenance v1","P0","0.3.0-B","high","TRUE","DEC-015","Preservation precedes interpretation and validation"
"OC-CF-02","0.3.0-B","CF interpretation and conformance stages","cf-validation","internal interpreter and structured diagnostics","APPROVED-CONCEPT","STANDARD-DRIVEN;ARCHITECTURAL","Preserved attributes are insufficient without linked semantic interpretation","https://cfconventions.org/","Users need to know what a field and its coordinates mean","Partial support can overclaim conformance","A valid ocean cube requires explicit metadata interpretation","oceancube","Implement preservation, interpretation, validation, advanced-coordinate, then writing stages with declared coverage","Compare against ncdfCF as a conformance oracle candidate","CF preservation and fixture matrix","P0","0.3.0-B","high","TRUE","DEC-015","Never claim complete CF support from a few attribute checks"
"OC-CF-03","0.3.0-B","Non-Gregorian calendar strategy","time-cf","CFtime vs internal representation vs alternative","PROPOSED","STANDARD-DRIVEN;ARCHITECTURAL","Future julian, noleap, all_leap, and 360_day data cannot be forced into Date safely","https://cran.r-project.org/package=CFtime","Interpret idealized and historical calendars without false dates","Ordering, grouping, serialization, printing, and arithmetic require a coherent type","Calendar semantics affect every temporal cube operation","oceancube","Prototype representations and compatibility before extending current calendar support","CFtime is a candidate; dependency not selected","CF preservation, time invariants, and DEC-023","P0","0.3.0-B","high","TRUE","DEC-023","Current standard, gregorian, and proleptic_gregorian behavior remains"
"OC-CF-04","0.3.0-B","CF vertical-coordinate semantics","cf-vertical","formula-term interpreter under review","APPROVED-CONCEPT","STANDARD-DRIVEN;ARCHITECTURAL","Depth, height, pressure, sigma, and hybrid coordinates need distinct semantics","https://cfconventions.org/Data/cf-conventions/cf-conventions-1.13/cf-conventions.html","Prevent invalid conversion of parametric coordinates to metric depth","Formula terms and auxiliary variables must be resolved consistently","Vertical semantics are core physical-field preparation","oceancube","Interpret axis, positive, units, bounds, formula_terms, and required auxiliary variables before conversion","Native or hybrid CF engine","CF preservation and vertical fixtures","P0","0.3.0-B","high","FALSE","DEC-008","Foundation for Gate B and advanced grids"
"OC-INT-01","0.3.0-B","stars interoperability adapter","interop-stars","as_stars/from_stars candidates","PROPOSED","EXTERNAL-INSPIRED;ARCHITECTURAL","stars offers labeled N-D geospatial arrays, proxies, and curvilinear metadata","https://r-spatial.github.io/stars/","Exchange data with the R spatial N-D ecosystem","Round trips can lose backend, variable, and provenance semantics","Optional interoperability belongs at the cube boundary","oceancube","Prototype one-way and round-trip mappings with explicit loss reports","Optional Suggests adapter only if approved","CF model and adapter contract","P1","0.3.0-B","medium","TRUE","DEC-016","stars is not a replacement for ocean_cube"
"OC-INT-02","0.3.0-B","terra interoperability adapter","interop-terra","as_spatraster/from_spatraster candidates","PROPOSED","EXTERNAL-INSPIRED;ARCHITECTURAL","terra provides on-disk SpatRaster and mature raster operations","https://rspatial.github.io/terra/","Exchange compatible surfaces and layer stacks with raster workflows","Depth/time/variable dimensions and metadata do not map automatically","Raster/surface interchange is an oceancube boundary concern","oceancube","Define supported dimensional slices and explicit information-loss diagnostics","Optional Suggests adapter only if approved","CF model and adapter contract","P1","0.3.0-B","medium","TRUE","DEC-016","Do not delegate the ocean_cube contract to terra"
"OC-INT-03","0.3.0-B","sf geometry interoperability","interop-sf","existing geometry inputs plus converter review","APPROVED-CONCEPT","EXTERNAL-INSPIRED;ARCHITECTURAL","Vector domains, polygons, transects, and CRS need standards-based exchange","https://r-spatial.github.io/sf/","Represent vector geometries and geodetic operations consistently","CRS, s2 behavior, and geometry lifecycles must be explicit","oceancube already owns field-domain geometry and weights","oceancube","Keep sf optional and use plain keyed outputs where geometry retention is unnecessary","Optional Suggests dependency remains bounded","CF grid mapping and geometry invariants","P1","0.3.0-B","medium","FALSE","DEC-013","sf is the vector-domain adapter, not the cube storage model"
"OC-INT-04","0.3.0-B","Plain data-frame and tidy interchange","interop-tabular","as.data.frame methods or explicit extract arguments under review","APPROVED-CONCEPT","INTERNAL;ARCHITECTURAL","Tabular consumers need stable coordinates, indices, units, and provenance keys","none (R base interchange)","Move profiles, series, sections, and weighted values without hidden objects","Wide and long representations can lose dimensions or duplicate coordinates","Plain exchange supports users and downstream packages","shared-contract","Define versioned schemas and explicit long/wide loss rules","Base data.frame first; optional tidy helpers only if justified","Provenance v1 and stable index semantics","P1","0.3.0-B","medium","FALSE","DEC-014","Prefer arguments/methods over many export variants"
"OC-INT-05","0.3.0-B","ncdfCF adapter and conformance-oracle evaluation","cf-validation","adapter/oracle prototype; no committed API","PROPOSED","EXTERNAL-INSPIRED;STANDARD-DRIVEN","ncdfCF interprets axes, calendars, bounds, measures, grid mappings, and standard names","https://cran.r-project.org/package=ncdfCF","Increase CF coverage and detect divergent interpretation","Depending fully on another object model may reduce control over ocean_cube semantics","CF correctness is core but implementation strategy is open","oceancube","Compare representative files and diagnostics against a bounded native prototype","Adapter, oracle, or hybrid dependency selected by evidence","CF fixtures and engine option paper","P0","0.3.0-B","high","TRUE","DEC-015","Do not adopt automatically as the internal engine"
"OC-INT-06","0.3.0-B","Versioned oceancube-to-spatind exchange schema","interop-spatind","schema version and plain tables","APPROVED-CONCEPT","INTERNAL;ARCHITECTURAL","Downstream indicators need stable field, geometry, unit, and provenance inputs","none (existing boundary contract)","Separate physical-field preparation from indicator calculation","Package coupling and undocumented joins can invalidate analyses","oceancube owns upstream schema production and spatind consumes it","shared-contract","Version keys, dimensions, units, bounds, missingness, provenance links, and compatibility policy","Plain data first; optional package integration after downstream review","Provenance v1, CF model, accessible spatind contract","P0","0.3.0-B","high","TRUE","DEC-022","Does not prescribe nonexistent spatind functions"
"OC-VERT-01","0.3.0-C","Vertical coordinate contract","vertical-core","object fields and validation; public API under review","APPROVED-CONCEPT","STANDARD-DRIVEN;ARCHITECTURAL","Metric depth, height, pressure, nominal, sigma, and hybrid axes are not interchangeable","https://cfconventions.org/Data/cf-conventions/cf-conventions-1.13/cf-conventions.html","Establish units, positive direction, bounds, monotonicity, and transformation provenance","Every vertical operation depends on consistent orientation and coordinates","Vertical ocean semantics are a core responsibility","oceancube","Define contract and validation before algorithms","CF engine; no extra scientific dependency","Gate B fixtures and CF vertical semantics","P0","0.3.0-C","high","FALSE","DEC-008","No named diagnostic begins before this contract"
"OC-VERT-02","0.3.0-C","Vertical gradient, integration, and mean primitives","vertical-primitives","candidate composable engine with operation argument","APPROVED-CONCEPT","INTERNAL;EXTERNAL-INSPIRED;ARCHITECTURAL","Profiles need bounded field transformations with explicit weights and coordinates","https://dankelley.github.io/oce/","Compute scientifically traceable derivatives and integrals across depth/pressure","Irregular spacing, bounds, masks, and missingness affect results","These are field-to-field or field-to-profile operations","oceancube","Design one composable primitive engine before separate convenience APIs","Use base numerical methods first; external methods only when justified","Vertical contract and method review","P1","0.3.0-C","high","TRUE","DEC-014","Public function count remains undecided"
"OC-VERT-03","0.3.0-C","Vertical interpolation, extrema, and depth-at-value primitives","vertical-primitives","candidate internal engine plus minimal public surface","PROPOSED","USER-DRIVEN;EXTERNAL-INSPIRED;ARCHITECTURAL","Named surfaces need explicit crossings, extrema, and interpolation","https://search.r-project.org/CRAN/refmans/OceanView/help/remap.html","Locate physical features without hidden extrapolation or tie choices","Multiple crossings, gaps, inversions, and edge behavior require diagnostics","These primitives prepare physical fields and surfaces","oceancube","Define methods, ties, extrapolation, missingness, and returned diagnostics before APIs","No dependency selected","Vertical contract and real profiles","P1","0.3.0-C","high","TRUE","DEC-008","Depth-at-value supports isotherm/isopycnal surfaces but is not a named diagnosis"
"OC-VERT-04","0.3.0-C","TEOS-10 bridge through gsw","vertical-teos","profile-wise adapter; candidate API under review","APPROVED-CONCEPT","STANDARD-DRIVEN;EXTERNAL-INSPIRED","Density and related thermodynamics require authoritative TEOS-10 equations","https://teos-10.github.io/GSW-R/","Calculate thermodynamic variables with correct salinity, temperature, pressure, and units","Inputs must be aligned, converted, masked, dispatched, and restored efficiently","oceancube prepares profiles and provenance while gsw owns equations","oceancube","Validate variables/units, derive allowed pressure inputs, dispatch profile-wise, restore cube, record gsw method/version","Optional gsw dependency; never reimplement equations","Vertical contract, CF metadata, and TEOS method review","P1","0.3.0-C","high","FALSE","DEC-005","Exact diagnostic API remains separate"
"OC-VERT-05","0.3.0-C","Thermocline and isotherm-depth diagnostics","vertical-diagnostics","candidate cube_thermocline and depth-at-value methods","PROPOSED","USER-DRIVEN;EXTERNAL-INSPIRED","Users need depth surfaces for temperature structures","https://dankelley.github.io/oce/","Define scientifically defensible thermocline and isotherm criteria","Multiple definitions and vertical resolution create method uncertainty","Produces physical diagnostics and fields","oceancube","Separate methodological review, diagnostics, uncertainty flags, and provenance","No renderer dependency; reuse vertical primitives","Vertical contract, primitives, and real depth fixtures","P1","0.3.0-C","high","TRUE","DEC-008","Names and formulas are not final"
"OC-VERT-06","0.3.0-C","Mixed-layer-depth diagnostic","vertical-diagnostics","candidate cube_mixed_layer_depth","PROPOSED","USER-DRIVEN;EXTERNAL-INSPIRED","MLD is a common physical-ocean surface with temperature and density definitions","https://teos-10.github.io/GSW-R/","Estimate mixed-layer depth with explicit reference and threshold methods","Formula, reference depth, density inputs, inversions, and gaps change results","MLD is a physical diagnostic derived from fields","oceancube","Separate scientific review and method-specific validation","Use gsw only for required thermodynamics","Vertical primitives, TEOS bridge where needed, and MLD fixtures","P1","0.3.0-C","high","TRUE","DEC-008","No default formula is approved"
"OC-VERT-07","0.3.0-C","Pycnocline and isopycnal-depth diagnostics","vertical-diagnostics","candidate diagnostic and depth-surface methods","PROPOSED","USER-DRIVEN;STANDARD-DRIVEN","Density structures require TEOS-aware vertical processing","https://teos-10.github.io/GSW-R/","Locate density gradients and target density surfaces","Density definition, pressure, crossings, and resolution require explicit rules","These are physical ocean diagnostics","oceancube","Review methods separately and reuse TEOS plus vertical primitives","Optional gsw dependency","TEOS bridge and vertical extrema/depth-at-value","P2","0.3.0-C","high","TRUE","DEC-008","Isopycnal depth is a surface product, not an ecological indicator"
"OC-VERT-08","0.3.0-C","Halocline diagnostic","vertical-diagnostics","candidate diagnostic; API under review","PROPOSED","USER-DRIVEN;EXTERNAL-INSPIRED","Salinity-gradient structures are relevant vertical ocean features","https://dankelley.github.io/oce/","Locate halocline features with explicit salinity and depth semantics","Threshold and extrema definitions vary","Physical vertical diagnostics belong upstream","oceancube","Separate method review using vertical gradients and extrema","No new dependency unless method evidence requires it","Vertical primitives and salinity fixtures","P2","0.3.0-C","high","TRUE","DEC-008","Formula and public name are not approved"
"OC-VERT-09","0.3.0-C","Optional oxycline diagnostic","vertical-diagnostics","candidate diagnostic; API under review","PROPOSED","USER-DRIVEN","Oxygen gradients and depth surfaces support biogeochemical workflows","https://dankelley.github.io/oce/","Locate oxygen transition structures without ecological classification","Units, sensor products, multiple crossings, and hypoxia thresholds differ","A physical concentration-gradient diagnostic can remain field preparation","oceancube","Method review must separate physical gradient from ecological threshold interpretation","No new dependency selected","Vertical primitives and oxygen fixtures","P2","0.3.0-C","high","TRUE","DEC-008","Ecological interpretation remains downstream"
"OC-VIZ-01","0.3.0-D","Hovmoller visualization","viz-2d","candidate viz.hovmoller","PROPOSED","USER-DRIVEN;INTERNAL","Historical roadmap and current cube selections support time-distance/depth views","none (historical package roadmap)","Show evolution across one spatial or vertical axis","Axis selection and aggregation must remain explicit","Visualization of prepared fields belongs in oceancube","oceancube","Return ggplot from explicit 2-D preparation without mutating cube","Existing ggplot2 dependency","Stable extraction and time/vertical contracts","P1","0.3.0-D","medium","TRUE","DEC-014","Candidate name only"
"OC-VIZ-02","0.3.0-D","Temperature-salinity diagram","viz-ocean","candidate viz.ts","PROPOSED","USER-DRIVEN;EXTERNAL-INSPIRED","T-S diagrams are standard profile and water-mass views","https://dankelley.github.io/oce/reference/plotTS.html","Plot salinity-temperature relationships with optional density context","Variable alignment, units, pressure, and density contours need clear provenance","Ocean-specific physical visualization belongs upstream","oceancube","Prepare aligned data and use gsw-derived density only when requested","ggplot2 core; optional gsw for TEOS context","TEOS bridge and profile extraction","P1","0.3.0-D","medium","TRUE","DEC-005","Water-mass interpretation is user responsibility"
"OC-VIZ-03","0.3.0-D","Vector and quiver visualization","viz-vector","candidate viz.vector","PROPOSED","USER-DRIVEN;EXTERNAL-INSPIRED","OceanView demonstrates vector field display; users need currents and transport context","https://cran.r-project.org/package=OceanView","Display aligned components with explicit scale and subsampling","Dense arrows, staggering, and map projection can misrepresent direction","Visualization follows the vector field contract","oceancube","Prepare aligned vectors and renderer-neutral arrow data before plotting","Existing ggplot2 first; optional renderer later","Vector component and grid-position contracts","P2","0.3.0-D","high","TRUE","DEC-009","Cannot precede vector alignment"
"OC-VIZ-04","0.3.0-D","Depth-dependent 3-D surfaces","viz-3d-data","candidate viz.surface3d","PROPOSED","USER-DRIVEN;EXTERNAL-INSPIRED","Users requested 3-D maps of thermocline, MLD, isotherm, isopycnal, oxycline, and bathymetry surfaces","https://matthewkling.github.io/ggcube/articles/surfaces.html","Represent physically meaningful depth surfaces in geographic context","Triangulation, orientation, decimation, missing areas, and renderer coupling need contracts","oceancube prepares the scientific surface and provenance","oceancube","Define renderer-neutral surface table/mesh plus depth orientation and mask semantics","Renderer optional and replaceable","Named or depth-at-value surface, Gate C, memory policy","P1","0.3.0-D","high","TRUE","DEC-017","Scientific data preparation is independent of ggcube"
"OC-VIZ-05","0.3.0-D","3-D slices and section context","viz-3d-data","candidate viz.slices3d or method arguments","PROPOSED","USER-DRIVEN;EXTERNAL-INSPIRED","Moving and fixed slices help inspect volumetric structure","https://cran.r-project.org/package=OceanView","Place horizontal and vertical sections consistently in 3-D coordinates","Coordinate ratios, ordering, depth direction, and decimation affect interpretation","oceancube owns section preparation and scientific coordinates","oceancube","Reuse current slice/section extraction and create renderer-neutral scene data","Renderer optional; no core dependency","Gate C and surface data contract","P2","0.3.0-D","medium","TRUE","DEC-017","Prefer method arguments over multiple exports where possible"
"OC-VIZ-06","0.3.0-D","Small and medium isosurfaces","viz-3d-data","candidate isosurface preparation plus renderer method","PROPOSED","USER-DRIVEN;EXTERNAL-INSPIRED","Isotherm, isopycnal, and oxygen surfaces may require 3-D contour extraction","https://matthewkling.github.io/ggcube/reference/index.html","Extract interpretable surfaces from bounded volumes","Topology, holes, smoothing, memory, and threshold semantics are complex","A bounded physical surface is field preparation","oceancube","Prototype bounded contour extraction with decimation and diagnostics","Renderer remains optional; contour engine selected later","Gate C, memory estimator, and vertical/grid semantics","P2","0.3.0-D","high","TRUE","DEC-017","Large isosurfaces are a separate deferred item"
"OC-VIZ-07","0.3.0-D","Bathymetry overlay","viz-3d-data","overlay argument or adapter under review","PROPOSED","USER-DRIVEN;EXTERNAL-INSPIRED","Depth surfaces need seafloor context","https://www.gebco.net/data_and_products/gridded_bathymetry_data/","Align bathymetry, land masks, and ocean surfaces with explicit source and resolution","CRS, resolution, vertical datum, and licensing can differ","oceancube owns physical scene preparation","oceancube","Require user-supplied or approved fixture bathymetry and record source","No automatic data download dependency","Bathymetry fixture, Gate C, and grid alignment","P2","0.3.0-D","medium","TRUE","DEC-024","Overlay is optional and must not imply a bundled global dataset"
"OC-VIZ-08","0.3.0-D","Renderer and depth-orientation evaluation","viz-3d-renderer","adapter interfaces; no fixed API","APPROVED-CONCEPT","USER-DRIVEN;EXTERNAL-INSPIRED;ARCHITECTURAL","ggcube and rgl offer distinct static, lighting, orbit, animation, OpenGL, and WebGL capabilities","https://matthewkling.github.io/ggcube/; https://dmurdoch.github.io/rgl/","Render positive-down ocean depth without changing scientific coordinate meaning","Platform, headless CI, HTML embedding, and interaction differ by renderer","oceancube must define scene data before renderer choice","oceancube","Build a platform matrix and renderer-neutral prototype","Optional renderer only; never core-hardwire before decision","Gate C and memory policy","P1","0.3.0-D","medium","TRUE","DEC-017","Decision must include static export and CI behavior"
"OC-VIZ-09","0.5.0-B","Large volume rendering, voxels, isosurfaces, and long animation","viz-3d-large","future renderer adapters","DEFERRED","USER-DRIVEN;EXTERNAL-INSPIRED;ARCHITECTURAL","Large 3-D views are attractive but exceed current memory and execution contracts","https://matthewkling.github.io/ggcube/; https://dmurdoch.github.io/rgl/","Explore large ocean volumes without accidental materialization","Decimation, chunk access, frame planning, caching, and rendering costs dominate","oceancube may prepare bounded data after infrastructure exists","oceancube","Defer until lazy/chunk engine and benchmarks define safe limits","Optional renderer and storage backends","Gate E, chunk planner, memory estimator, and scale benchmark","P3","0.5.0-B","high","FALSE","DEC-011","Not part of the 0.3 small/medium 3-D scope"
"OC-VEC-01","0.3.0-E","Vector component and naming contract","vector-core","component metadata; public API under review","APPROVED-CONCEPT","STANDARD-DRIVEN;ARCHITECTURAL","u, v, and w variables require component identity, orientation, units, and positions","https://xgcm.readthedocs.io/en/latest/","Distinguish vector components from unrelated scalar variables","Names, CF standard names, grids, and coordinate orientation vary","Vector field semantics are core physical-field metadata","oceancube","Define recognition hierarchy, overrides, units, sign, and center/face positions","No xgcm dependency","CF model and preliminary grid positions","P0","0.3.0-E","high","FALSE","DEC-009","Recognition must be overridable and diagnosable"
"OC-VEC-02","0.3.0-E","Speed and direction transformations","vector-operations","candidate composable vector engine","PROPOSED","USER-DRIVEN;ARCHITECTURAL","Users need magnitude and direction from aligned components","none (standard vector algebra)","Create physical scalar fields with explicit angular convention","Projection, units, missingness, and component staggering affect results","These are field-to-field physical transformations","oceancube","Operate only after alignment and record direction convention","No new dependency","Vector contract and aligned positions","P1","0.3.0-E","medium","TRUE","DEC-009","Public API may be arguments rather than separate functions"
"OC-VEC-03","0.3.0-E","Component alignment and position transformations","vector-operations","alignment engine; API under review","APPROVED-CONCEPT","EXTERNAL-INSPIRED;ARCHITECTURAL","Staggered components cannot be combined at different positions","https://xgcm.readthedocs.io/en/latest/api/","Interpolate components to a declared common position","Metrics, masks, boundaries, and staggering determine valid interpolation","Grid-aware field preparation belongs in oceancube","oceancube","Use topology and metric-aware interpolation with diagnostics","xgcm is reference only","Grid topology, metrics, and position contract","P0","0.3.0-E","high","FALSE","DEC-009","No vector calculus before alignment"
