"current_function","source_file","current_purpose","current_input","current_output","current_users_workflow","roadmap_role","decision","proposed_name","compatibility_alias","deprecation_start","deprecation_removal","required_for_core_0.2.0","implementation_phase","test_status","documentation_status","risk","evidence","notes"
"cube_cell_volume","R/cube_grid_geometry.R","Compute three-dimensional cell volumes for an ocean cube","x, depth_bounds, unit","A longitude-by-latitude-by-depth numeric array.","Derive geometry or spatial metrics","geometry / high","retain","cube_cell_volume",FALSE,"not-planned","not-planned",FALSE,"preserve unchanged; reassess post-core","1 referencing test/helper files","12 referencing documentation files","low: retain current public contract","R/cube_grid_geometry.R:88 verified definition; NAMESPACE export() registration; tests: tests/testthat/test-cube-grid-geometry.R; documentation: docs/roadmap/oceancube-v0.2.0-scope.Rmd; handbook/08-grid-geometry.qmd; handbook/09-function-reference.qmd; handbook/14-cheat-sheet.qmd; handbook/functions/cube_cell_volume.qmd; handbook/oceancube-handbook.md; handbook/oceancube-handbook.Rmd; inst/examples/cube_geometry_weights.R",""
"cube_collect","R/cube_collect.R","Materialize an ocean cube in memory","x","An \verb{<ocean_cube>} using the memory backend.","Construct or materialize the canonical cube","core-object / core","retain","cube_collect",FALSE,"not-planned","not-planned",TRUE,"core-0.2.0","6 referencing test/helper files","18 referencing documentation files","low: retain current public contract","R/cube_collect.R:35 verified definition; NAMESPACE export() registration; tests: tests/testthat/test-cube-collect.R; tests/testthat/test-cube-crop.R; tests/testthat/test-cube-mask.R; tests/testthat/test-cube-slice.R; tests/testthat/test-cube-transect.R; tests/testthat/test-release-contract.R; documentation: docs/roadmap/oceancube-v0.2.0-scope.Rmd; handbook/03-ocean-cube-object.qmd; handbook/04-data-access.qmd; handbook/09-function-reference.qmd; handbook/14-cheat-sheet.qmd; handbook/functions/cube_collect.qmd; handbook/oceancube-handbook.md; handbook/oceancube-handbook.Rmd",""
"cube_crop","R/cube_crop.R","Crop an ocean cube with closed coordinate ranges","x, longitude, latitude, depth, time, variable, bbox, outside","An \verb{<ocean_cube>} using the memory backend and retaining all five dimensions.","Select a spatial, temporal, vertical or stock subset","selection / core","retain","cube_crop",FALSE,"not-planned","not-planned",TRUE,"core-0.2.0","2 referencing test/helper files","16 referencing documentation files","low: retain current public contract","R/cube_crop.R:59 verified definition; NAMESPACE export() registration; tests: tests/testthat/test-cube-crop.R; tests/testthat/test-release-contract.R; documentation: docs/roadmap/oceancube-v0.2.0-scope.Rmd; handbook/05-selection-extraction.qmd; handbook/06-masks.qmd; handbook/09-function-reference.qmd; handbook/14-cheat-sheet.qmd; handbook/functions/cube_crop.qmd; handbook/oceancube-handbook.md; handbook/oceancube-handbook.Rmd",""
"cube_extract","R/cube_extract.R","Extract ocean-cube cells as a data frame","x, longitude, latitude, depth, time, variable, by, match, tolerance, mode, format, keep_index, keep_distance","A base \code{data.frame} with lightweight selection and provenance attributes. Long output contains \code{longitude}, \code{latitude}, \code{depth}, \code{time}, \code{variable}, \code{unit}, and \code{value}.","Match cube values to analytical tables or paths","extraction / core","retain","cube_extract",FALSE,"not-planned","not-planned",TRUE,"core-0.2.0","2 referencing test/helper files","14 referencing documentation files","low: retain current public contract","R/cube_extract.R:85 verified definition; NAMESPACE export() registration; tests: tests/testthat/test-cube-extract.R; tests/testthat/test-release-contract.R; documentation: docs/roadmap/oceancube-v0.2.0-scope.Rmd; handbook/05-selection-extraction.qmd; handbook/09-function-reference.qmd; handbook/14-cheat-sheet.qmd; handbook/functions/cube_extract.qmd; handbook/oceancube-handbook.md; handbook/oceancube-handbook.Rmd; inst/examples/cube_extract.R",""
"cube_layer_thickness","R/cube_grid_geometry.R","Compute vertical layer thicknesses for an ocean cube","x, depth_bounds, unit","A numeric vector in cube depth order.","Derive geometry or spatial metrics","geometry / high","retain","cube_layer_thickness",FALSE,"not-planned","not-planned",FALSE,"preserve unchanged; reassess post-core","1 referencing test/helper files","12 referencing documentation files","low: retain current public contract","R/cube_grid_geometry.R:55 verified definition; NAMESPACE export() registration; tests: tests/testthat/test-cube-grid-geometry.R; documentation: docs/roadmap/oceancube-v0.2.0-scope.Rmd; handbook/08-grid-geometry.qmd; handbook/09-function-reference.qmd; handbook/14-cheat-sheet.qmd; handbook/functions/cube_layer_thickness.qmd; handbook/oceancube-handbook.md; handbook/oceancube-handbook.Rmd; inst/examples/cube_geometry_weights.R",""
"cube_mask","R/cube_mask.R","Mask an ocean cube with polygon cell-centre coverage","x, polygons, crs, keep, boundary","A memory-backed \verb{<ocean_cube>} with the same coordinates, units, dimensions, and extents as \code{x}. Its \verb{<ocean_mask>} records coverage and lightweight geometry metadata.","Select a spatial, temporal, vertical or stock subset","selection / medium","retain","cube_mask",FALSE,"not-planned","not-planned",FALSE,"preserve unchanged; reassess post-core","2 referencing test/helper files","13 referencing documentation files","low: retain current public contract","R/cube_mask.R:72 verified definition; NAMESPACE export() registration; tests: tests/testthat/test-cube-mask.R; tests/testthat/test-release-contract.R; documentation: handbook/06-masks.qmd; handbook/09-function-reference.qmd; handbook/14-cheat-sheet.qmd; handbook/functions/cube_mask.qmd; handbook/oceancube-handbook.md; handbook/oceancube-handbook.Rmd; inst/examples/cube_mask.R; man/cube_mask.Rd",""
"cube_polygon_weights","R/cube_polygon_weights.R","Build polygon-to-cube geometric weights","x, polygons, id_col, crs, dimension, depth_bounds, include_zero","A data frame with stable feature/cell keys, bounds, areas, fractions, coverage diagnostics, and—when \code{dimension = ""3d""}—depth and volume fields.","Derive geometry or spatial metrics","geometry / high","retain","cube_polygon_weights",FALSE,"not-planned","not-planned",FALSE,"preserve unchanged; reassess post-core","2 referencing test/helper files","15 referencing documentation files","low: retain current public contract","R/cube_polygon_weights.R:32 verified definition; NAMESPACE export() registration; tests: tests/testthat/test-cube-polygon-weights.R; tests/testthat/test-release-contract.R; documentation: docs/roadmap/oceancube-v0.2.0-scope.Rmd; handbook/06-masks.qmd; handbook/08-grid-geometry.qmd; handbook/09-function-reference.qmd; handbook/14-cheat-sheet.qmd; handbook/functions/cube_polygon_weights.qmd; handbook/index.qmd; handbook/oceancube-handbook.md",""
"cube_slice","R/cube_slice.R","Select discrete positions or coordinate values from an ocean cube","x, longitude, latitude, depth, time, variable, by, match, tolerance","An \verb{<ocean_cube>} using the memory backend and retaining all five dimensions.","Select a spatial, temporal, vertical or stock subset","selection / core","retain","cube_slice",FALSE,"not-planned","not-planned",TRUE,"core-0.2.0","3 referencing test/helper files","16 referencing documentation files","low: retain current public contract","R/cube_slice.R:66 verified definition; NAMESPACE export() registration; tests: tests/testthat/test-cube-crop.R; tests/testthat/test-cube-slice.R; tests/testthat/test-release-contract.R; documentation: docs/roadmap/oceancube-v0.2.0-scope.Rmd; handbook/05-selection-extraction.qmd; handbook/09-function-reference.qmd; handbook/14-cheat-sheet.qmd; handbook/functions/cube_slice.qmd; handbook/oceancube-handbook.md; handbook/oceancube-handbook.Rmd; inst/examples/cube_crop.R",""
"cube_transect","R/cube_transect.R","Extract an ordered ocean transect as a table","x, path, lon_col, lat_col, id_col, depth, time, variable, by, match, tolerance, mode, format, keep_index","A fully materialized base \code{data.frame}. Requested and matched cumulative horizontal distances are in kilometres.","Match cube values to analytical tables or paths","extraction / core","retain","cube_transect",FALSE,"not-planned","not-planned",TRUE,"core-0.2.0","1 referencing test/helper files","14 referencing documentation files","low: retain current public contract","R/cube_transect.R:83 verified definition; NAMESPACE export() registration; tests: tests/testthat/test-cube-transect.R; documentation: docs/roadmap/oceancube-v0.2.0-scope.Rmd; handbook/05-selection-extraction.qmd; handbook/09-function-reference.qmd; handbook/14-cheat-sheet.qmd; handbook/functions/cube_transect.qmd; handbook/index.qmd; handbook/oceancube-handbook.md; handbook/oceancube-handbook.Rmd",""
"download_nc","R/download_nc.R","Download a subset from a Copernicus Marine dataset","dataset_id, vars, lon, lat, time, depth, outdir, fmt, overwrite, skip_existing, dry_run, filename, verbose","Output file path.","Acquire or open ocean data before cube analysis","ingestion-copernicus / core","rename-with-alias","download_copernicus",TRUE,"0.2.x, after alias adoption evidence","human-approval-required; not during initial 0.2.0 development",TRUE,"compatibility aliases before source-file reorganization","no direct static test reference found","7 referencing documentation files","medium: wrapper parity and downstream name migration","R/download_nc.R:19 verified definition; NAMESPACE export() registration; documentation: docs/roadmap/oceancube-v0.2.0-scope.Rmd; handbook/04-data-access.qmd; handbook/09-function-reference.qmd; handbook/functions/download_nc.qmd; handbook/oceancube-handbook.md; handbook/oceancube-handbook.Rmd; man/download_nc.Rd",""
"layer_mean","R/layer_mean.R","Average an ocean cube over vertical layers","x, depth","An \verb{<ocean_cube>} with the depth dimension replaced by vertical layers.","Derive geometry or spatial metrics","summary / high","rename-with-alias","cube_vertical_mean",TRUE,"0.2.x, after alias adoption evidence","human-approval-required; not during initial 0.2.0 development",TRUE,"compatibility aliases before source-file reorganization","7 referencing test/helper files","8 referencing documentation files","medium: wrapper parity and downstream name migration","R/layer_mean.R:9 verified definition; NAMESPACE export() registration; tests: tests/testthat/test-backend-memory.R; tests/testthat/test-cube-collect.R; tests/testthat/test-cube-crop.R; tests/testthat/test-layer-time-mask.R; tests/testthat/test-ocean-cube-contract.R; tests/testthat/test-refactor-layer-annual-backend.R; tests/testthat/test-scientific-baseline.R; documentation: docs/roadmap/oceancube-v0.2.0-scope.Rmd; handbook/07-temporal-climatology.qmd; handbook/09-function-reference.qmd; handbook/functions/layer_mean.qmd; handbook/oceancube-handbook.md; handbook/oceancube-handbook.Rmd; inst/examples/refactor_layer_annual_backend.R; man/layer_mean.Rd",""
"link_events","R/link_events.R","Link gridded ocean-cube values to event points","x, events, lon_col, lat_col, date_col, depth_col, vars, prefix, time_tolerance, keep_grid","The original \code{events} data frame with extracted ocean variables appended.","Match cube values to analytical tables or paths","matching / core","rename-with-alias","cube_join",TRUE,"0.2.x, after alias adoption evidence","human-approval-required; not during initial 0.2.0 development",TRUE,"compatibility aliases before source-file reorganization","5 referencing test/helper files","13 referencing documentation files","medium: wrapper parity and downstream name migration","R/link_events.R:25 verified definition; NAMESPACE export() registration; tests: tests/testthat/test-backend-memory.R; tests/testthat/test-daily-link.R; tests/testthat/test-ocean-cube-contract.R; tests/testthat/test-refactor-link-events-backend.R; tests/testthat/test-scientific-baseline.R; documentation: docs/roadmap/oceancube-v0.2.0-scope.Rmd; handbook/05-selection-extraction.qmd; handbook/09-function-reference.qmd; handbook/14-cheat-sheet.qmd; handbook/functions/link_events.qmd; handbook/oceancube-handbook.md; handbook/oceancube-handbook.Rmd; inst/examples/baseline_ocean_cube.R",""
"ocean_cube","R/ocean_cube.R","Construct an oceanographic data cube","lon, lat, time, data, depth, vars, units, source, dataset_id, spatial_extent, temporal_extent, depth_extent, mask, dc, climatology, anomaly, provenance, qa","An object of class \verb{<ocean_cube>}.","Construct or materialize the canonical cube","core-object / core","retain-and-expand","ocean_cube",FALSE,"not-planned","not-planned",TRUE,"core-0.2.0","19 referencing test/helper files","39 referencing documentation files","medium: preserve backward-compatible defaults while extending contract","R/ocean_cube.R:74 verified definition; NAMESPACE export() registration; tests: tests/testthat/helper-baseline-cube.R; tests/testthat/helper-geometry.R; tests/testthat/test-backend-memory.R; tests/testthat/test-backend-netcdf-noncontiguous.R; tests/testthat/test-backend-netcdf-read-block.R; tests/testthat/test-clim-anom.R; tests/testthat/test-cube-crop.R; tests/testthat/test-cube-extract.R; tests/testthat/test-cube-slice.R; tests/testthat/test-daily-link.R; tests/testthat/test-layer-time-mask.R; tests/testthat/test-ocean-cube-baseline.R; tests/testthat/test-ocean-cube-contract.R; tests/testthat/test-ocean-cube.R; tests/testthat/test-refactor-coast-dist-backend.R; tests/testthat/test-refactor-layer-annual-backend.R; tests/testthat/test-refactor-link-events-backend.R; tests/testthat/test-refactor-temporal-backend.R; tests/testthat/test-scientific-baseline.R; documentation: docs/roadmap/oceancube-v0.2.0-scope.Rmd; handbook/03-ocean-cube-object.qmd; handbook/09-function-reference.qmd; handbook/14-cheat-sheet.qmd; handbook/functions/ocean_cube.qmd; handbook/oceancube-handbook.md; handbook/oceancube-handbook.Rmd; inst/examples/backend_memory.R",""
"read_nc","R/read_nc.R","Read NetCDF variables as an ocean cube","file, vars, lon_name, lat_name, depth_name, time_name, source, dataset_id","An \verb{<ocean_cube>} object.","Acquire or open ocean data before cube analysis","ingestion-netcdf / core","retain-and-expand","read_nc",FALSE,"not-planned","not-planned",TRUE,"core-0.2.0","2 referencing test/helper files","11 referencing documentation files","medium: preserve backward-compatible defaults while extending contract","R/read_nc.R:18 verified definition; NAMESPACE export() registration; tests: tests/testthat/test-backend-netcdf-read-block.R; tests/testthat/test-read-nc-baseline.R; documentation: docs/roadmap/oceancube-v0.2.0-scope.Rmd; handbook/04-data-access.qmd; handbook/09-function-reference.qmd; handbook/14-cheat-sheet.qmd; handbook/functions/read_nc.qmd; handbook/oceancube-handbook.md; handbook/oceancube-handbook.Rmd; man/read_nc.Rd",""
"signal_noise","R/anom_diff.R","Compute signal-to-noise anomaly magnitude","x, clim, signed","An \verb{<ocean_cube>} with signal-to-noise values.","Compute climatology or anomaly products","anomaly / core","retain","signal_noise",FALSE,"not-planned","not-planned",TRUE,"core-0.2.0","2 referencing test/helper files","8 referencing documentation files","low: retain current public contract","R/anom_diff.R:31 verified definition; NAMESPACE export() registration; tests: tests/testthat/test-refactor-temporal-backend.R; tests/testthat/test-scientific-baseline.R; documentation: docs/roadmap/oceancube-v0.2.0-scope.Rmd; handbook/07-temporal-climatology.qmd; handbook/09-function-reference.qmd; handbook/functions/signal_noise.qmd; handbook/oceancube-handbook.md; handbook/oceancube-handbook.Rmd; inst/examples/refactor_temporal_backend.R; man/signal_noise.Rd",""
"stock_mask","R/stock_mask.R","Create a stock-oriented spatial mask","x, stock, lat, dc, depth","An \verb{<ocean_mask>} object.","Select a spatial, temporal, vertical or stock subset","Existing specialized API; outside mandatory core until roadmap approval","retain","stock_mask",FALSE,"not-planned","not-planned",FALSE,"preserve unchanged; reassess post-core","5 referencing test/helper files","11 referencing documentation files","medium: specialized user workflows may depend on current semantics","R/stock_mask.R:12 verified definition; NAMESPACE export() registration; tests: tests/testthat/test-cube-crop.R; tests/testthat/test-cube-mask.R; tests/testthat/test-cube-slice.R; tests/testthat/test-layer-time-mask.R; tests/testthat/test-scientific-baseline.R; documentation: handbook/06-masks.qmd; handbook/09-function-reference.qmd; handbook/functions/stock_mask.qmd; handbook/oceancube-handbook.md; handbook/oceancube-handbook.Rmd; inst/examples/cube_crop.R; inst/examples/cube_mask.R; man/cube_mask.Rd","Retained as a specialized, documented extension; not required to implement the mandatory core workflow."
"to_month","R/to_month.R","Aggregate an ocean cube to monthly resolution","x, fun","An \verb{<ocean_cube>} aggregated to one value per month.","Aggregate or summarize time series","aggregation / core","retain-and-expand","to_month",FALSE,"not-planned","not-planned",TRUE,"core-0.2.0","4 referencing test/helper files","8 referencing documentation files","medium: preserve backward-compatible defaults while extending contract","R/to_month.R:8 verified definition; NAMESPACE export() registration; tests: tests/testthat/test-layer-time-mask.R; tests/testthat/test-refactor-temporal-backend.R; tests/testthat/test-release-contract.R; tests/testthat/test-scientific-baseline.R; documentation: docs/roadmap/oceancube-v0.2.0-scope.Rmd; handbook/07-temporal-climatology.qmd; handbook/09-function-reference.qmd; handbook/functions/to_month.qmd; handbook/oceancube-handbook.md; handbook/oceancube-handbook.Rmd; inst/examples/refactor_temporal_backend.R; man/to_month.Rd",""
