"current_file","current_functions","proposed_file","proposed_module","action","phase","tests_affected","documentation_affected","risk","notes"
"R/cube_crop.R",".crop_posix_timezone; .crop_range_no_coordinates; .crop_range_no_overlap; .crop_range_outside; .crop_time_class; .resolve_crop_bbox; .resolve_cube_crop; .resolve_numeric_crop_range; .resolve_time_crop_range; .validate_numeric_crop_range; cube_crop","R/cube_crop.R","selection","retain-file","preserve through core stabilization","tests/testthat/test-cube-crop.R; tests/testthat/test-release-contract.R","docs/roadmap/oceancube-v0.2.0-scope.Rmd; handbook/05-selection-extraction.qmd; handbook/06-masks.qmd; handbook/09-function-reference.qmd; handbook/14-cheat-sheet.qmd; handbook/functions/cube_crop.qmd; handbook/oceancube-handbook.md; handbook/oceancube-handbook.Rmd; inst/examples/cube_crop.R; man/cube_crop.Rd; man/cube_extract.Rd; man/cube_mask.Rd; man/cube_transect.Rd; README.md; README.Rmd; vignettes/oceancube-introduction.Rmd","low","Keep current physical layout in the cleanup phase."
"R/cube_extract.R",".append_extract_distances; .append_extract_indices; .cube_extract_long; .cube_extract_wide; .estimate_cube_extract; .extract_cube_coordinates; .extract_local_indices; .extract_selected_coordinates; .extract_table_units; .validate_extract_flag; .validate_extract_mode; .validate_extract_wide; cube_extract","R/cube_extract.R","extraction","retain-file","preserve through core stabilization","tests/testthat/test-cube-extract.R; tests/testthat/test-release-contract.R","docs/roadmap/oceancube-v0.2.0-scope.Rmd; handbook/05-selection-extraction.qmd; handbook/09-function-reference.qmd; handbook/14-cheat-sheet.qmd; handbook/functions/cube_extract.qmd; handbook/oceancube-handbook.md; handbook/oceancube-handbook.Rmd; inst/examples/cube_extract.R; man/cube_extract.Rd; man/cube_transect.Rd; README.md; README.Rmd; vignettes/get-started.Rmd; vignettes/oceancube-introduction.Rmd","low","Keep current physical layout in the cleanup phase."
"R/cube_grid_geometry.R",".axis_bounds_metadata; .bounds_to_pairs; .cube_axis_bounds; .cube_horizontal_geometry; .cube_vertical_geometry; .depth_conversion_factor; .normalize_depth_unit; .validate_geometry_axis; .vertical_bounds_metadata; .with_s2_geometry; cube_cell_area; cube_cell_volume; cube_layer_thickness","R/cube_grid_geometry.R","geometry/masks","retain-file","preserve through core stabilization","tests/testthat/test-cube-grid-geometry.R","docs/roadmap/oceancube-v0.2.0-scope.Rmd; handbook/08-grid-geometry.qmd; handbook/09-function-reference.qmd; handbook/14-cheat-sheet.qmd; handbook/functions/cube_cell_area.qmd; handbook/functions/cube_cell_volume.qmd; handbook/functions/cube_layer_thickness.qmd; handbook/oceancube-handbook.md; handbook/oceancube-handbook.Rmd; inst/examples/cube_geometry_weights.R; man/cube_cell_area.Rd; man/cube_cell_volume.Rd; man/cube_layer_thickness.Rd; README.md; README.Rmd; vignettes/oceancube-geometry-weights.Rmd","low","Keep current physical layout in the cleanup phase."
"R/cube_mask.R",".apply_cube_mask_5d; .canonical_cube_dimnames; .classify_cell_centers; .combine_cube_masks; .cube_cell_centers; .mask_coverage; .new_polygon_ocean_mask; .normalize_polygon_geometry; .plan_masked_cube_read; .polygon_crosses_antimeridian; .read_masked_cube_values; .typed_missing; cube_mask","R/cube_mask.R","geometry/masks","retain-file","preserve through core stabilization","tests/testthat/test-cube-mask.R; tests/testthat/test-release-contract.R","handbook/06-masks.qmd; handbook/09-function-reference.qmd; handbook/14-cheat-sheet.qmd; handbook/functions/cube_mask.qmd; handbook/oceancube-handbook.md; handbook/oceancube-handbook.Rmd; inst/examples/cube_mask.R; man/cube_mask.Rd; man/cube_polygon_weights.Rd; README.md; README.Rmd; vignettes/oceancube-geometry-weights.Rmd; vignettes/oceancube-introduction.Rmd","low","Keep current physical layout in the cleanup phase."
"R/cube_polygon_weights.R",".add_polygon_coverage_columns; .expand_polygon_weights_depth; .polygon_cell_intersections; .polygon_feature_coverage; .polygon_feature_ids; .polygon_weight_table; cube_polygon_weights","R/cube_polygon_weights.R","geometry/masks","retain-file","preserve through core stabilization","tests/testthat/test-cube-polygon-weights.R; tests/testthat/test-release-contract.R","docs/roadmap/oceancube-v0.2.0-scope.Rmd; handbook/06-masks.qmd; handbook/08-grid-geometry.qmd; handbook/09-function-reference.qmd; handbook/14-cheat-sheet.qmd; handbook/functions/cube_polygon_weights.qmd; handbook/index.qmd; handbook/oceancube-handbook.md; handbook/oceancube-handbook.Rmd; inst/examples/cube_geometry_weights.R; man/cube_polygon_weights.Rd; README.md; README.Rmd; vignettes/oceancube-architecture.Rmd; vignettes/oceancube-geometry-weights.Rmd","low","Keep current physical layout in the cleanup phase."
"R/cube_slice.R",".resolve_axis_values; .resolve_cube_slice; .resolve_selected_variables; .resolve_time_values; .selection_auxiliary_components; .selection_contains_dimensional_data; .selection_units; .slice_beyond_tolerance; .slice_format_values; .slice_not_found; .slice_outside_domain; .slice_time_numeric; .validate_slice_selector_vector; .validate_slice_tolerance; cube_slice","R/cube_slice.R","selection","retain-file","preserve through core stabilization","tests/testthat/test-cube-crop.R; tests/testthat/test-cube-slice.R; tests/testthat/test-release-contract.R","docs/roadmap/oceancube-v0.2.0-scope.Rmd; handbook/05-selection-extraction.qmd; handbook/09-function-reference.qmd; handbook/14-cheat-sheet.qmd; handbook/functions/cube_slice.qmd; handbook/oceancube-handbook.md; handbook/oceancube-handbook.Rmd; inst/examples/cube_crop.R; inst/examples/cube_extract.R; inst/examples/cube_slice.R; man/cube_crop.Rd; man/cube_extract.Rd; man/cube_slice.Rd; README.md; README.Rmd; vignettes/oceancube-introduction.Rmd","low","Keep current physical layout in the cleanup phase."
"R/cube_transect.R",".cube_transect_long; .cube_transect_wide; .plan_cube_transect; .transect_cumulative_distance; .transect_mode; .transect_point_label; .transect_resolve_spatial; .transect_scalar_column; .transect_validate_antimeridian; cube_transect","R/cube_transect.R","extraction","retain-file","preserve through core stabilization","tests/testthat/test-cube-transect.R","docs/roadmap/oceancube-v0.2.0-scope.Rmd; handbook/05-selection-extraction.qmd; handbook/09-function-reference.qmd; handbook/14-cheat-sheet.qmd; handbook/functions/cube_transect.qmd; handbook/index.qmd; handbook/oceancube-handbook.md; handbook/oceancube-handbook.Rmd; inst/examples/cube_transect.R; man/cube_transect.Rd; README.md; README.Rmd; vignettes/oceancube-architecture.Rmd; vignettes/oceancube-introduction.Rmd","low","Keep current physical layout in the cleanup phase."
"R/download_nc.R","download_nc","R/download-copernicus.R","ingestion-copernicus","rename-later","after download_copernicus alias parity tests","","docs/roadmap/oceancube-v0.2.0-scope.Rmd; handbook/04-data-access.qmd; handbook/09-function-reference.qmd; handbook/functions/download_nc.qmd; handbook/oceancube-handbook.md; handbook/oceancube-handbook.Rmd; man/download_nc.Rd","medium: source layout and roxygen topic links","Plan only; move no file until behavior-preserving tests and rollback boundary are approved."
"R/layer_mean.R","layer_mean","R/cube-vertical-mean.R","summary","rename-later","after cube_vertical_mean alias parity tests","tests/testthat/test-backend-memory.R; tests/testthat/test-cube-collect.R; tests/testthat/test-cube-crop.R; tests/testthat/test-layer-time-mask.R; tests/testthat/test-ocean-cube-contract.R; tests/testthat/test-refactor-layer-annual-backend.R; tests/testthat/test-scientific-baseline.R","docs/roadmap/oceancube-v0.2.0-scope.Rmd; handbook/07-temporal-climatology.qmd; handbook/09-function-reference.qmd; handbook/functions/layer_mean.qmd; handbook/oceancube-handbook.md; handbook/oceancube-handbook.Rmd; inst/examples/refactor_layer_annual_backend.R; man/layer_mean.Rd","medium: source layout and roxygen topic links","Plan only; move no file until behavior-preserving tests and rollback boundary are approved."
"R/link_events.R",".nearest_date_index; .nearest_index; .read_event_values; link_events","R/cube-join.R","matching","rename-later","after cube_join alias parity tests","tests/testthat/test-backend-memory.R; tests/testthat/test-daily-link.R; tests/testthat/test-ocean-cube-contract.R; tests/testthat/test-refactor-link-events-backend.R; tests/testthat/test-scientific-baseline.R","docs/roadmap/oceancube-v0.2.0-scope.Rmd; handbook/05-selection-extraction.qmd; handbook/09-function-reference.qmd; handbook/14-cheat-sheet.qmd; handbook/functions/link_events.qmd; handbook/oceancube-handbook.md; handbook/oceancube-handbook.Rmd; inst/examples/baseline_ocean_cube.R; inst/examples/cube_extract.R; inst/examples/refactor_link_events_backend.R; man/cube_extract.Rd; man/cube_transect.Rd; man/link_events.Rd","medium: source layout and roxygen topic links","Plan only; move no file until behavior-preserving tests and rollback boundary are approved."
"R/ocean_cube.R","ocean_cube; print.ocean_cube; summary.ocean_cube","R/ocean_cube.R","core-object","retain-file","preserve through core stabilization","tests/testthat/helper-baseline-cube.R; tests/testthat/helper-geometry.R; tests/testthat/test-backend-memory.R; tests/testthat/test-backend-netcdf-noncontiguous.R; tests/testthat/test-backend-netcdf-read-block.R; tests/testthat/test-clim-anom.R; tests/testthat/test-cube-crop.R; tests/testthat/test-cube-extract.R; tests/testthat/test-cube-slice.R; tests/testthat/test-daily-link.R; tests/testthat/test-layer-time-mask.R; tests/testthat/test-ocean-cube-baseline.R; tests/testthat/test-ocean-cube-contract.R; tests/testthat/test-ocean-cube.R; tests/testthat/test-refactor-coast-dist-backend.R; tests/testthat/test-refactor-layer-annual-backend.R; tests/testthat/test-refactor-link-events-backend.R; tests/testthat/test-refactor-temporal-backend.R; tests/testthat/test-scientific-baseline.R","docs/roadmap/oceancube-v0.2.0-scope.Rmd; handbook/03-ocean-cube-object.qmd; handbook/09-function-reference.qmd; handbook/14-cheat-sheet.qmd; handbook/functions/ocean_cube.qmd; handbook/oceancube-handbook.md; handbook/oceancube-handbook.Rmd; inst/examples/backend_memory.R; inst/examples/backend_netcdf_read_block.R; inst/examples/baseline_ocean_cube.R; inst/examples/cube_crop.R; inst/examples/cube_extract.R; inst/examples/cube_geometry_weights.R; inst/examples/cube_mask.R; inst/examples/cube_slice.R; inst/examples/cube_transect.R; inst/examples/ocean_cube_contract.R; inst/examples/refactor_coast_dist_backend.R; inst/examples/refactor_layer_annual_backend.R; inst/examples/refactor_link_events_backend.R","low","Keep current physical layout in the cleanup phase."
"R/read_nc.R","read_nc","R/read_nc.R","backend/netcdf","retain-file","preserve through core stabilization","tests/testthat/test-backend-netcdf-read-block.R; tests/testthat/test-read-nc-baseline.R","docs/roadmap/oceancube-v0.2.0-scope.Rmd; handbook/04-data-access.qmd; handbook/09-function-reference.qmd; handbook/14-cheat-sheet.qmd; handbook/functions/read_nc.qmd; handbook/oceancube-handbook.md; handbook/oceancube-handbook.Rmd; man/read_nc.Rd; README.md; README.Rmd; vignettes/oceancube-introduction.Rmd","low","Keep current physical layout in the cleanup phase."
"R/stock_mask.R","crop_stock; print.ocean_mask; stock_mask","R/stock_mask.R","geometry/masks","retain-file","preserve through core stabilization","tests/testthat/test-cube-crop.R; tests/testthat/test-cube-mask.R; tests/testthat/test-cube-slice.R; tests/testthat/test-layer-time-mask.R; tests/testthat/test-scientific-baseline.R","handbook/06-masks.qmd; handbook/09-function-reference.qmd; handbook/functions/crop_stock.qmd; handbook/functions/stock_mask.qmd; handbook/oceancube-handbook.md; handbook/oceancube-handbook.Rmd; inst/examples/cube_crop.R; inst/examples/cube_mask.R; man/crop_stock.Rd; man/cube_mask.Rd; man/stock_mask.Rd; README.md; README.Rmd","low","Keep current physical layout in the cleanup phase."
"R/to_month.R","to_month","R/to_month.R","aggregation","retain-file","preserve through core stabilization","tests/testthat/test-layer-time-mask.R; tests/testthat/test-refactor-temporal-backend.R; tests/testthat/test-release-contract.R; tests/testthat/test-scientific-baseline.R","docs/roadmap/oceancube-v0.2.0-scope.Rmd; handbook/07-temporal-climatology.qmd; handbook/09-function-reference.qmd; handbook/functions/to_month.qmd; handbook/oceancube-handbook.md; handbook/oceancube-handbook.Rmd; inst/examples/refactor_temporal_backend.R; man/to_month.Rd","low","Keep current physical layout in the cleanup phase."
"R/utils-internal.R","%||%; .abort_badarg; .check_cube; .check_cube_coordinates; .check_cube_dimensions; .check_numeric_vector; .check_range; .cube_shape; .depth_edges; .depth_weights; .guess_dim; .make_filename; .make_provenance; .message_done; .message_info; .read_cf_time; .safe_mean; .safe_sd; .weighted_mean","R/internal-{assertions,coordinates,time,units}.R","internal-utils","split-later","after public validation contract is stable","tests/testthat/test-backend-memory.R; tests/testthat/test-backend-netcdf-descriptor.R; tests/testthat/test-backend-netcdf-noncontiguous.R; tests/testthat/test-backend-netcdf-read-block.R; tests/testthat/test-cube-collect.R; tests/testthat/test-cube-crop.R; tests/testthat/test-cube-extract.R; tests/testthat/test-cube-mask.R; tests/testthat/test-cube-slice.R; tests/testthat/test-ocean-cube-contract.R; tests/testthat/test-refactor-coast-dist-backend.R; tests/testthat/test-refactor-temporal-backend.R","inst/examples/backend_memory.R; inst/examples/backend_netcdf_descriptor.R; inst/examples/backend_netcdf_read_block.R; inst/examples/cube_extract.R; inst/examples/cube_mask.R; inst/examples/ocean_cube_contract.R; inst/examples/refactor_coast_dist_backend.R; man/cube_collect.Rd","high: broad internal dependency surface","Plan only; move no file until behavior-preserving tests and rollback boundary are approved."
