"function_name","current_file","current_module","proposed_module","proposed_file","move_required","rename_required","notes"
"download_url","","not-implemented","ingestion-url","io-url.R",FALSE,FALSE,"Proposed roadmap function not yet defined in R/*.R; target module/file requires implementation approval."
"read_stac","","not-implemented","ingestion-url","io-url.R",FALSE,FALSE,"Proposed roadmap function not yet defined in R/*.R; target module/file requires implementation approval."
"source_info","","not-implemented","ingestion-url","io-url.R",FALSE,FALSE,"Proposed roadmap function not yet defined in R/*.R; target module/file requires implementation approval."
"source_search","","not-implemented","ingestion-url","io-url.R",FALSE,FALSE,"Proposed roadmap function not yet defined in R/*.R; target module/file requires implementation approval."
"source_variables","","not-implemented","ingestion-url","io-url.R",FALSE,FALSE,"Proposed roadmap function not yet defined in R/*.R; target module/file requires implementation approval."
"%||%","R/utils-internal.R","internal-utils","internal-utils","utils-internal.R",FALSE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".abort_badarg","R/utils-internal.R","internal-utils","internal-utils","utils-internal.R",FALSE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".add_polygon_coverage_columns","R/cube_polygon_weights.R","geometry/masks","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".anom_from_clim","R/anom_diff.R","anomaly","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".append_extract_distances","R/cube_extract.R","extraction","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".append_extract_indices","R/cube_extract.R","extraction","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".apply_cube_mask_5d","R/cube_mask.R","geometry/masks","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".axis_bounds_metadata","R/cube_grid_geometry.R","geometry/masks","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".bounds_to_pairs","R/cube_grid_geometry.R","geometry/masks","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".canonical_cube_dimnames","R/cube_mask.R","geometry/masks","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".check_cube","R/utils-internal.R","internal-utils","internal-utils","utils-internal.R",FALSE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".check_cube_coordinates","R/utils-internal.R","internal-utils","internal-utils","utils-internal.R",FALSE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".check_cube_dimensions","R/utils-internal.R","internal-utils","internal-utils","utils-internal.R",FALSE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".check_numeric_vector","R/utils-internal.R","internal-utils","internal-utils","utils-internal.R",FALSE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".check_range","R/utils-internal.R","internal-utils","internal-utils","utils-internal.R",FALSE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".classify_cell_centers","R/cube_mask.R","geometry/masks","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".clim_index","R/anom_diff.R","anomaly","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".combine_cube_masks","R/cube_mask.R","geometry/masks","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".crop_posix_timezone","R/cube_crop.R","selection","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".crop_range_no_coordinates","R/cube_crop.R","selection","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".crop_range_no_overlap","R/cube_crop.R","selection","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".crop_range_outside","R/cube_crop.R","selection","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".crop_time_class","R/cube_crop.R","selection","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".cube_axis_bounds","R/cube_grid_geometry.R","geometry/masks","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".cube_axis_names","R/backend-memory.R","backend/netcdf","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".cube_backend","R/backend-memory.R","backend/netcdf","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".cube_cell_centers","R/cube_mask.R","geometry/masks","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".cube_estimated_bytes","R/cube_collect.R","extraction","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".cube_extract_long","R/cube_extract.R","extraction","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".cube_extract_wide","R/cube_extract.R","extraction","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".cube_horizontal_geometry","R/cube_grid_geometry.R","geometry/masks","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".cube_product_as_double","R/backend-index.R","backend/netcdf","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".cube_read","R/backend-memory.R","backend/netcdf","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".cube_read_block","R/backend-memory.R","backend/netcdf","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".cube_read_block_netcdf","R/backend-netcdf.R","backend/netcdf","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".cube_read_netcdf","R/backend-netcdf.R","backend/netcdf","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".cube_read_spatial_pairs","R/backend-index.R","backend/netcdf","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".cube_read_spatial_pairs_memory","R/backend-memory.R","backend/netcdf","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".cube_read_spatial_pairs_netcdf","R/backend-netcdf.R","backend/netcdf","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".cube_shape","R/utils-internal.R","internal-utils","internal-utils","utils-internal.R",FALSE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".cube_storage_shape","R/backend-memory.R","backend/netcdf","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".cube_transect_long","R/cube_transect.R","extraction","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".cube_transect_wide","R/cube_transect.R","extraction","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".cube_vertical_geometry","R/cube_grid_geometry.R","geometry/masks","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".cube_write_block","R/backend-memory.R","backend/netcdf","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".daily_keys","R/clim_day.R","climatology","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".date_key","R/clim_day.R","climatology","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".decode_netcdf_block","R/backend-netcdf.R","backend/netcdf","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".decode_netcdf_time","R/backend-netcdf.R","backend/netcdf","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".depth_conversion_factor","R/cube_grid_geometry.R","geometry/masks","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".depth_edges","R/utils-internal.R","internal-utils","internal-utils","utils-internal.R",FALSE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".depth_weights","R/utils-internal.R","internal-utils","internal-utils","utils-internal.R",FALSE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".estimate_cube_extract","R/cube_extract.R","extraction","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".expand_polygon_weights_depth","R/cube_polygon_weights.R","geometry/masks","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".extract_cube_coordinates","R/cube_extract.R","extraction","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".extract_local_indices","R/cube_extract.R","extraction","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".extract_selected_coordinates","R/cube_extract.R","extraction","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".extract_table_units","R/cube_extract.R","extraction","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".guess_dim","R/utils-internal.R","internal-utils","internal-utils","utils-internal.R",FALSE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".make_filename","R/utils-internal.R","internal-utils","internal-utils","utils-internal.R",FALSE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".make_provenance","R/utils-internal.R","internal-utils","internal-utils","utils-internal.R",FALSE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".mask_coverage","R/cube_mask.R","geometry/masks","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".message_done","R/utils-internal.R","internal-utils","internal-utils","utils-internal.R",FALSE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".message_info","R/utils-internal.R","internal-utils","internal-utils","utils-internal.R",FALSE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".ncvar_get_block","R/backend-netcdf.R","backend/netcdf","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".nearest_date_index","R/link_events.R","matching","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".nearest_index","R/link_events.R","matching","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".netcdf_abort","R/backend-netcdf.R","backend/netcdf","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".netcdf_as_utc","R/backend-netcdf.R","backend/netcdf","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".netcdf_attribute","R/backend-netcdf.R","backend/netcdf","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".netcdf_block_dimnames","R/backend-netcdf.R","backend/netcdf","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".netcdf_canonical_dimension","R/backend-netcdf.R","backend/netcdf","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".netcdf_contains_forbidden_object","R/backend-netcdf.R","backend/netcdf","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".netcdf_dimension_evidence","R/backend-netcdf.R","backend/netcdf","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".netcdf_dimension_metadata","R/backend-netcdf.R","backend/netcdf","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".netcdf_file_identity","R/backend-netcdf.R","backend/netcdf","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".netcdf_optional_number","R/backend-netcdf.R","backend/netcdf","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".netcdf_optional_string","R/backend-netcdf.R","backend/netcdf","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".netcdf_scalar_string","R/backend-netcdf.R","backend/netcdf","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".netcdf_variable_map","R/backend-netcdf.R","backend/netcdf","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".new_collected_memory_cube","R/backend-memory.R","backend/netcdf","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".new_netcdf_cube","R/backend-netcdf.R","backend/netcdf","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".new_netcdf_storage","R/backend-netcdf.R","backend/netcdf","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".new_polygon_ocean_mask","R/cube_mask.R","geometry/masks","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".new_selected_memory_cube","R/backend-memory.R","backend/netcdf","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".normalize_depth_unit","R/cube_grid_geometry.R","geometry/masks","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".normalize_polygon_geometry","R/cube_mask.R","geometry/masks","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".plan_cube_index_read","R/backend-index.R","backend/netcdf","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".plan_cube_transect","R/cube_transect.R","extraction","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".plan_masked_cube_read","R/cube_mask.R","geometry/masks","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".polygon_cell_intersections","R/cube_polygon_weights.R","geometry/masks","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".polygon_crosses_antimeridian","R/cube_mask.R","geometry/masks","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".polygon_feature_coverage","R/cube_polygon_weights.R","geometry/masks","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".polygon_feature_ids","R/cube_polygon_weights.R","geometry/masks","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".polygon_weight_table","R/cube_polygon_weights.R","geometry/masks","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".read_cf_time","R/utils-internal.R","internal-utils","internal-utils","utils-internal.R",FALSE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".read_event_values","R/link_events.R","matching","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".read_masked_cube_values","R/cube_mask.R","geometry/masks","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".read_netcdf_coordinate","R/backend-netcdf.R","backend/netcdf","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".read_netcdf_index_plan","R/backend-netcdf.R","backend/netcdf","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".read_netcdf_variable_block","R/backend-netcdf.R","backend/netcdf","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".require_memory_backend","R/backend-memory.R","backend/netcdf","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".resolve_axis_values","R/cube_slice.R","selection","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".resolve_crop_bbox","R/cube_crop.R","selection","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".resolve_cube_crop","R/cube_crop.R","selection","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".resolve_cube_slice","R/cube_slice.R","selection","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".resolve_netcdf_dimension","R/backend-netcdf.R","backend/netcdf","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".resolve_numeric_crop_range","R/cube_crop.R","selection","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".resolve_selected_variables","R/cube_slice.R","selection","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".resolve_time_crop_range","R/cube_crop.R","selection","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".resolve_time_values","R/cube_slice.R","selection","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".safe_mean","R/utils-internal.R","internal-utils","internal-utils","utils-internal.R",FALSE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".safe_sd","R/utils-internal.R","internal-utils","internal-utils","utils-internal.R",FALSE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".selection_auxiliary_components","R/cube_slice.R","selection","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".selection_contains_dimensional_data","R/cube_slice.R","selection","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".selection_units","R/cube_slice.R","selection","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".slice_beyond_tolerance","R/cube_slice.R","selection","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".slice_format_values","R/cube_slice.R","selection","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".slice_not_found","R/cube_slice.R","selection","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".slice_outside_domain","R/cube_slice.R","selection","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
".slice_time_numeric","R/cube_slice.R","selection","internal-utils","utils-internal.R",TRUE,FALSE,"Internal placement is a proposal; inspect cohesion before moving."
